datetime,overall_sentiment_score,relevance_score,ticker_sentiment_score,affected_topic_relevance_score,distinct_news_count
2024-08-22 08:00:00,0.029,0.1714,0.2608,0.6684,1
2024-08-22 09:00:00,0.2017,0.1874,0.1392,0.3432,1
2024-08-22 11:00:00,0.1357,0.5808,0.2509,0.7498,2
2024-08-22 12:00:00,0.2353,0.0599,0.1376,0.4919,3
2024-08-22 13:00:00,-0.0025,0.1129,0.153,0.3823,1
2024-08-22 15:00:00,0.1237,0.0124,0.0389,0.4939,1
2024-08-22 18:00:00,0.1575,0.2224,0.1694,0.6357,1
2024-08-22 21:00:00,0.0897,0.2722,0.2265,0.5263,1
2024-08-23 04:00:00,0.087,0.0707,0.0571,0.6147,1
2024-08-23 05:00:00,-0.1635,0.1295,-0.175,0.4332,1
2024-08-23 10:00:00,0.0313,0.1056,0.1319,0.3609,1
2024-08-23 11:00:00,0.101,0.048,0.0551,0.4962,1
2024-08-23 13:00:00,0.1181,0.0929,0.0172,0.3744,1
2024-08-23 17:00:00,0.3733,0.0881,0.0412,0.4588,1
2024-08-24 08:00:00,0.1247,0.3928,0.0055,0.4783,1
2024-08-24 21:00:00,0.0742,0.0438,0.1723,0.6589,1
2024-08-25 09:00:00,0.0785,0.0472,0.1316,0.4119,1
2024-08-26 05:00:00,0.0688,0.4767,0.1452,0.7613,1
2024-08-26 08:00:00,0.1782,0.1241,0.0778,0.6797,2
2024-08-26 10:00:00,0.0965,0.1143,0.1166,0.5563,1
2024-08-26 11:00:00,0.1593,0.0776,0.237,0.3793,1
2024-08-26 12:00:00,0.106,0.2019,-0.0198,0.5358,2
2024-08-26 13:00:00,0.0659,0.1107,0.2215,0.2413,1
2024-08-26 14:00:00,0.0593,0.1361,0.2054,0.3957,1
2024-08-26 15:00:00,0.1627,0.0802,0.1234,0.4299,2
2024-08-26 16:00:00,0.0781,0.2407,0.0602,0.6721,2
2024-08-26 17:00:00,0.1517,0.0932,-0.0271,0.4361,2
2024-08-26 18:00:00,0.1711,0.2388,0.236,0.5284,2
2024-08-26 22:00:00,0.0523,0.4371,0.2498,0.4339,2
2024-08-27 01:00:00,0.1991,0.5702,0.4029,0.7821,1
2024-08-27 02:00:00,-0.0049,0.1811,-0.1584,0.5397,1
2024-08-27 04:00:00,0.3631,0.0602,0.0,0.418,1
2024-08-27 06:00:00,0.1569,0.1001,0.0853,0.6171,3
2024-08-27 08:00:00,0.0579,0.4078,0.073,0.7525,1
2024-08-27 10:00:00,0.0788,0.1177,-0.061,0.3696,3
2024-08-27 12:00:00,0.2469,0.1786,0.2486,0.3899,3
2024-08-27 13:00:00,0.1554,0.1809,0.0576,0.4303,2
2024-08-27 14:00:00,0.0965,0.0866,-0.0021,0.4864,1
2024-08-27 15:00:00,0.1433,0.6707,0.3198,0.4222,1
2024-08-27 16:00:00,0.2554,0.2094,-0.0186,0.4115,1
2024-08-27 17:00:00,0.0976,0.2076,0.018,0.406,1
2024-08-27 18:00:00,0.2032,0.7961,0.215,0.6175,1
2024-08-27 20:00:00,0.089,0.1673,-0.1558,0.4288,2
2024-08-28 01:00:00,0.1047,0.1939,0.1846,0.5085,2
2024-08-28 02:00:00,0.0488,0.0739,-0.0543,0.4865,2
2024-08-28 07:00:00,0.203,0.3532,0.0789,0.5125,2
2024-08-28 08:00:00,0.3266,0.2328,0.1934,0.4801,1
2024-08-28 09:00:00,0.3603,0.0898,0.1489,0.6272,1
2024-08-28 10:00:00,0.1443,0.1589,0.0948,0.3506,1
2024-08-28 11:00:00,0.1788,0.2627,0.1015,0.4911,3
2024-08-28 12:00:00,0.1472,0.0798,0.085,0.5242,3
2024-08-28 13:00:00,0.1198,0.1608,0.0551,0.3966,4
2024-08-28 14:00:00,0.1594,0.1569,0.1185,0.4013,2
2024-08-28 16:00:00,0.162,0.2953,-0.1008,0.386,1
2024-08-28 17:00:00,0.0597,0.4617,0.2325,0.3392,1
2024-08-28 18:00:00,0.2938,0.495,0.319,0.4409,1
2024-08-28 20:00:00,0.0987,0.0886,0.0544,0.4597,2
2024-08-28 22:00:00,-0.0339,0.1785,0.0107,0.5717,1
2024-08-29 00:00:00,0.1925,0.2464,0.1823,0.4724,1
2024-08-29 01:00:00,0.0708,0.1992,0.042,0.7011,2
2024-08-29 02:00:00,0.0285,0.1825,0.0609,0.5391,3
2024-08-29 04:00:00,0.0601,0.0766,-0.2409,0.5846,1
2024-08-29 06:00:00,0.1455,0.2221,-0.1222,0.5353,2
2024-08-29 08:00:00,0.0511,0.0563,-0.0487,0.5895,2
2024-08-29 10:00:00,0.0759,0.0985,-0.0196,0.4979,2
2024-08-29 11:00:00,0.135,0.2382,-0.1227,0.4989,2
2024-08-29 12:00:00,0.1218,0.0841,0.0737,0.36,1
2024-08-29 13:00:00,-0.1182,0.1656,-0.2031,0.7952,1
2024-08-29 14:00:00,0.1327,0.1878,0.2337,0.3522,3
2024-08-29 15:00:00,0.1769,0.1709,0.1715,0.4461,2
2024-08-29 16:00:00,0.3664,0.8904,0.2576,0.5,1
2024-08-29 17:00:00,0.2615,0.2355,0.2746,0.4785,3
2024-08-29 18:00:00,0.2281,0.2674,0.4001,0.6925,1
2024-08-29 19:00:00,0.2319,0.2597,0.2378,0.5034,3
2024-08-29 20:00:00,0.0708,0.1439,0.1315,0.4104,3
2024-08-29 21:00:00,0.1751,0.0778,-0.1312,0.4242,1
2024-08-29 23:00:00,0.1306,0.2273,0.1,0.6644,2
2024-08-30 00:00:00,0.3674,0.0975,0.0526,0.5,1
2024-08-30 01:00:00,0.2636,0.0043,0.0114,0.4083,1
2024-08-30 02:00:00,0.1756,0.2381,0.0663,0.5517,2
2024-08-30 03:00:00,0.2101,0.4967,0.2847,0.539,2
2024-08-30 04:00:00,0.2357,0.1887,0.1879,0.5089,3
2024-08-30 07:00:00,0.039,0.468,-0.0188,0.6946,1
2024-08-30 08:00:00,0.2083,0.2512,0.1262,0.5718,4
2024-08-30 09:00:00,0.2518,0.2468,0.1699,0.4999,5
2024-08-30 10:00:00,0.1569,0.2116,0.0916,0.5356,3
2024-08-30 11:00:00,0.0639,0.3065,0.0952,0.4389,3
2024-08-30 12:00:00,0.1564,0.2575,0.1112,0.5279,3
2024-08-30 13:00:00,0.1137,0.2005,0.1062,0.5655,7
2024-08-30 14:00:00,0.1622,0.47,0.1396,0.4908,4
2024-08-30 15:00:00,0.3072,0.2939,0.2064,0.5849,2
2024-08-30 16:00:00,0.1849,0.3897,0.1893,0.6003,2
2024-08-30 17:00:00,0.0473,0.1238,-0.0627,0.5829,2
2024-08-30 18:00:00,0.1687,0.6445,0.205,0.6489,2
2024-08-30 20:00:00,0.116,0.1186,0.1397,0.5,1
2024-08-30 21:00:00,0.1883,0.1613,0.1598,0.6444,3
2024-09-03 14:00:00,0.027,0.0773,0.1294,0.2111,1
2024-09-03 16:00:00,-0.0318,0.0673,0.1273,0.2288,1
2024-09-03 17:00:00,0.1984,0.1112,0.1353,0.4125,1
2024-09-03 18:00:00,-0.0342,0.0675,0.1273,0.2288,1
2024-09-04 04:00:00,-0.0779,0.0629,0.096,0.702,1
2024-09-04 11:00:00,-0.2476,0.0908,-0.0848,0.4078,1
2024-09-04 12:00:00,0.0509,0.0379,0.0939,0.6158,1
2024-09-05 10:00:00,0.1222,0.0175,0.0636,0.5765,1
2024-09-05 12:00:00,0.0119,0.0833,0.0797,0.5656,1
2024-09-05 20:00:00,0.0413,0.0593,0.129,0.4636,1
2024-09-06 01:00:00,0.1608,0.0378,0.0955,0.4981,1
2024-09-06 02:00:00,0.1306,0.0827,0.0,0.5793,1
2024-09-06 15:00:00,0.0075,0.154,-0.5294,0.4938,1
2024-09-09 11:00:00,0.102,0.091,0.3403,0.3086,1
2024-09-10 03:00:00,0.1582,0.012,0.1001,0.4925,1
2024-09-11 05:00:00,0.112,0.1785,0.1008,0.423,1
2024-09-12 04:00:00,0.1806,0.0564,0.2824,0.7696,1
2024-09-12 11:00:00,0.1661,0.0373,0.2793,0.4954,1
2024-09-12 12:00:00,0.2869,0.1033,0.0735,0.3543,1
2024-09-14 14:00:00,0.173,0.0973,0.091,0.3361,1
2024-09-15 22:00:00,0.1915,0.0122,-0.1159,0.5783,1
2024-09-16 13:00:00,0.1213,0.063,0.0165,0.4865,2
2024-09-17 04:00:00,0.0555,0.0791,-0.0503,0.6042,1
2024-09-17 10:00:00,-0.0343,0.1007,-0.0862,0.33,1
2024-09-17 11:00:00,0.2823,0.0509,0.2786,0.4941,1
2024-09-17 12:00:00,0.0983,0.0329,-0.0468,0.631,1
2024-09-18 13:00:00,0.1841,0.2336,0.1639,0.7653,1
2024-09-18 14:00:00,0.4026,0.0961,0.0419,0.4588,1
2024-09-18 20:00:00,-0.0268,0.1834,-0.057,0.4939,1
2024-09-19 15:00:00,0.2494,0.0593,0.0,0.3703,1
2024-09-19 16:00:00,0.3206,0.1853,0.1212,0.2841,1
2024-09-19 17:00:00,0.1115,0.0448,-0.088,0.1931,1
2024-09-19 20:00:00,0.073,0.0878,0.0,0.5656,1
2024-09-20 10:00:00,0.0688,0.0901,0.1519,0.4308,1
2024-09-20 15:00:00,0.3126,0.1098,0.1613,0.2035,1
2024-09-20 19:00:00,0.2754,0.2822,0.3744,0.5952,1
2024-09-21 09:00:00,0.2328,0.348,0.2193,0.4166,2
2024-09-22 07:00:00,0.3299,0.0575,0.102,0.5684,1
2024-09-22 11:00:00,0.0991,0.0938,0.1052,0.7352,1
2024-09-22 18:00:00,0.2145,0.4078,0.2354,0.7515,1
2024-09-23 08:00:00,0.1287,0.2401,0.2037,0.5223,1
2024-09-23 10:00:00,0.1438,0.0189,-0.1804,0.4242,1
2024-09-24 13:00:00,0.1484,0.2617,0.1667,0.7404,1
2024-09-24 14:00:00,0.1928,0.2195,0.0368,0.4494,3
2024-09-24 15:00:00,0.1863,0.1007,0.0,0.4086,1
2024-09-24 16:00:00,0.0725,0.0633,0.0,0.4904,1
2024-09-24 19:00:00,0.3432,0.3652,0.3242,0.5067,1
2024-09-24 20:00:00,0.0633,0.3166,0.048,0.6223,1
2024-09-24 23:00:00,0.2196,0.2159,0.2886,0.6906,2
2024-09-25 02:00:00,0.2393,0.1385,0.0101,0.8769,2
2024-09-25 06:00:00,0.068,0.2058,0.4211,0.3249,1
2024-09-25 09:00:00,0.0217,0.2869,-0.0868,0.4735,1
2024-09-25 10:00:00,0.1641,0.153,0.1274,0.5015,2
